t,q0,q1,q2,q3,q4,q5,q6,q7,q8
0,0.,0.,0.,0.,0.,0.,0.,1.,0.
1,0.,0.,0.,0.,0.,1.,0.,0.,0.
2,0.,0.,0.,0.,0.,0.,0.,0.,1.
3,0.,0.,0.,0.,0.,0.,0.,1.,0.
4,0.,0.,0.,0.,0.,0.,0.,1.,0.
5,0.,0.,0.,0.,0.,0.,0.,1.,0.
6,0.,0.,0.,0.,0.,0.,0.,1.,0.
7,0.,0.,0.,0.,0.,0.,0.,1.,0.
8,0.,0.,0.,0.,0.,0.,0.,1.,0.
9,0.,0.,0.,0.,0.,0.,0.,1.,0.
10,0.,0.,0.,0.,0.,0.,0.,1.,0.
